Six	Six
of	of
you	you
—	—
and	and
you	you
cant	null
null	can‘t
find	find
a	a
coat	coat
that	that
null	I
put	put
down	down
not	not
five	five
minutes	minutes
ago	ago
Well	Well
of	of
all	all
Be	null
Then	null
hed	null
null	the
null	——“
null	 Then
null	he‘d
get	get
up	up
and	and
find	find
that	that
he	he
had	had
been	been
sitting	sitting
on	on
it	it
and	and
would	would
call	call
out	out
„Ob	null
null	 „Oh
you	you
can	can
give	give
it	it
up	up
Ive	null
null	I‘ve
found	found
it	it
myself	myself
now	now
Might	Might
just	just
as	as
well	well
ask	ask
the	the
cat	cat
to	to
fina	null
null	find
anything	anything
as	as
expect	expect
you	you
poeple	null
null	people
to	to
find	find
it”	null
And	null
null	it“
null	 And
when	when
half	half
an	an
hour	hour
had	had
been	been
spent	spent
in	in
tying	tying
up	up
his	his
finger	finger
and	and
a	a
new	new
glass	glass
had	had
been	been
got	got
and	and
the	the
tools	tools
and	and
the	the
ladder	ladder
and	and
the	the
chair	chair
and	and
the	the
candle	candle
had	had
been	been
brought	brought
he	he
would	would
have	have
amother	null
null	another
go	go
the	the
whole	whole
family	family
including	including
the	the
girl	girl
and	and
the	the
charwoman	charwoman
standing	standing
round	round
in	in
a	a
semóeirele	null
null	semicircle
ready	ready
to	to
help	help
Two	null
null	 Two
people	people
would	would
have	have
to	to
hold	hold
the	the
chain	null
null	chair
and	and
a	a
third	third
wonld	null
null	would
help	help
him	him
up	up
on	on
it	it
and	and
hold	hold
him	him
there	there
and	and
a	a
fourth	fourth
would	would
hand	hand
him	him
a	a
nadl	null
null	nail
and	and
a	a
fifth	fifth
would	would
pass	pass
him	him
up	up
the	the
hammer	hammer
and	and
he	he
would	would
take	take
hold	hold
of	of
the	the
nal	null
null	nail
and	and
drop	drop
it	it
„There	null
null	 „There“
he	he
would	would
say	say
in	in
an	an
injured	injured
tone	tone
„mow	null
null	„now
the	the
nails	null
gone	null
And	null
null	nail‘s
null	gone“
null	 And
we	we
would	would
all	all
have	have
to	to
go	go
down	down
on	on
our	our
knees	knees
and	and
grovel	grovel
for	for
it	it
while	while
he	he
would	would
stand	stand
om	null
null	on
the	the
chuir	null
null	chair
and	and
grunt	grunt
and	and
want	want
to	to
know	know
if	if
he	he
was	was
to	to
be	be
kept	kept
there	there
all	all
the	the
evening	evening
The	null
null	 The
nail	nail
would	would
be	be
found	found
at	at
last	last
but	but
hy	null
null	by
that	that
time	time
he	he
would	would
have	have
lost	lost
the	the
hammer	hammer
„Wheres	null
null	 „Where‘s
the	the
hammer	hammer
What	What
dd	null
null	did
I	I
do	do
with	with
the	the
hammer	hammer
Great	Great
heavens	heavens
Seven	Seven
of	of
you	you
gaping	gaping
round	round
there	there
and	and
you	you
dont	null
null	don‘t
know	know
what	what
I	I
did	did
with	with
the	the
hammer	null
We	null
wiould	null
null	hammer“
null	 We
null	would
find	find
the	the
hammer	hammer
for	for
him	him
and	and
AGE	null
