SPIS	SPIS
RZECZY	RZECZY
Str	Str
WIŚNIOWY	WIŚNIOWY
SAD	null
»	null
«	null
«	null
»	null
a	null
a	null
za	null
a	null
e	null
null	SAD  
NIEZŻĘTY	NIEZŻĘTY
KŁOS	null
«	null
«	null
«	null
»	null
«	null
«	null
s	null
«»	null
Jak	null
null	KŁOS  
null	 Jak
pąki	pąki
drzew	null
«	null
«	null
«	null
»	null
«	null
e	null
a	null
e	null
a	null
s	null
Po	null
null	drzew  
null	 Po
wielkich	wielkich
wezbranych	wezbranych
wodach	null
«	null
»	null
»	null
«	null
Nie	null
pamietaj	null
«	null
«	null
«	null
«	null
»	null
SSEG	null
«EŃ	null
SEE	null
noce	null
AE	null
Radości	null
moje	null
«	null
«	null
«	null
»	null
EE	null
TP	null
Niezżęty	null
kłos	null
«	null
«	null
«	null
m	null
«	null
asa	null
s	null
ss	null
null	wodach  
null	 Nie
null	pamiętaj  
null	 Śnieg  
null	 Radości
null	moje  
null	 Niezżęty
null	kłos  
PRZYSZŁAŚ	PRZYSZŁAŚ
JAK	JAK
WIOSNA	null
«	null
«	null
«	null
««««	null
Tęsknota	null
«	null
«	null
«	null
«	null
»	null
«	null
«	null
sa	null
u	null
a	null
»	null
«	null
Maj	null
czarodziej	null
«	null
«	null
«	null
«	null
«	null
a	null
a	null
s	null
a	null
Ty	null
null	WIOSNA  
null	 Tęsknota  
null	 Maj
null	czarodziej  
null	 Ty
jak	jak
wino	null
«	null
«	null
«	null
«	null
—Hokosoie	null
RYBAK	null
«	null
o	null
ORSGoka	null
e	null
Zima	null
sda	null
e	null
ooade	null
ole	null
swalia	null
je	null
Pieśń	null
wiosenna	null
«	null
«	null
«	null
«	null
«	null
»	null
so	null
a	null
aso	null
GIZECH”	null
«	null
«	null
«	null
«©	null
s	null
©	null
«	null
ao	null
©	null
alle	null
OE	null
lzota	null
oO	null
Se	null
ssa	null
e	null
null	wino  
null	 Rybak  
null	 Zima  
null	 Pieśń
null	wiosenna  
null	 Grzech  
null	 Izotta  
NAPOIŁEM	NAPOIŁEM
CIĘ	CIĘ
PIOŁUNEM	null
«	null
«	null
«	null
«	null
»	null
»	null
»	null
Ktoś	null
null	PIOŁUNEM  
null	 Ktoś
mi	mi
mówił	null
«	null
«	null
«	null
«	null
«	null
«	null
«	null
«	null
«	null
«	null
Na	null
null	mówił  
null	 Na
przesmutne	przesmutne
twoje	twoje
oczy	null
«	null
wie	null
a	null
Szedłem	null
null	oczy  
null	 Szedłem
do	do
ciebie	null
«	null
«	null
«	null
«	null
«	null
s	null
o	null
a	null
sa	null
RUDEFOZY	null
a	null
GOGAĆ	null
GG	null
Ge	null
SAS	null
Rzy	null
PW	null
O	null
A	null
MD	null
oFNOR	null
MY	null
«	null
«	null
o	null
o	null
null	ciebie  
null	 Tuberozy  
null	 Łzy  
null	 Mgły  
