GRZECH	GRZECH
MARZYĆ	MARZYĆ
a	null
null	Na
płowem	płowem
niebie	niebie
rosa	rosa
gwiazd	gwiazd
p	null
Żadumana	null
null	 Zadumana
noc	noc
lipcowa—	null
null	lipcowa
null	—
wiejska	wiejska
zewna	null
null	rzewna
—	—
nuci	nuci
tęskną	tęskną
kołysankę	kołysankę
z	null
Zadumała	null
null	 Zadumała
się	się
dzieweczka—	null
null	dzieweczka
null	—
dziecko	dziecko
nieledwie	nieledwie
—	—
patrzy	patrzy
w	w
niebo	niebo
i	i
szepcze	szepcze
—	null
null	 —
Kocham	Kocham
kocham	kocham
Kogo	null
null	 Kogo
kochasz	kochasz
maleńka	maleńka
—	null
null	 —
Nie	Nie
wiem	wiem
Ale	Ale
kocham	kocham
bo	bo
muszę	muszę
bo	bo
mi	mi
ktoś	ktoś
kochać	kochać
każe	każe
a	a
nie	nie
wiem	wiem
kto	kto
Zadumana	null
null	 Zadumana
noc	noc
lipcowa	lipcowa
—	—
wiejska	wiejska
rzewna—	null
null	rzewna
null	—
nuci	nuci
tęskną	tęskną
kołysankę	kołysankę
Zadumało	null
null	 Zadumało
się	się
chłopię	chłopię
—	—
dziecko	dziecko
nieledwie—	null
null	nieledwie
null	—
patrzy	patrzy
w	w
niebo	niebo
i	i
szepcze	szepcze
—	null
null	 —
Kocham	Kocham
Kogo	null
null	 Kogo
kochasz	kochasz
chłopcze	chłopcze
—	—
dziecię	dziecię
—	null
null	 —
Nie	Nie
wiem	wiem
A	A
kocham	kocham
bo	bo
muszę	muszę
bo	bo
mi	mi
ktoś	ktoś
kochać	kochać
każe	każe
a	a
nie	nie
wiem	wiem
kto	kto
RZ	null
