W	W
rzeczy	rzeczy
samej	samej
twierdzenie	twierdzenie
to	to
jest	jest
prawdziwe	prawdziwe
dla	dla
c	c
brzmi	brzmi
ono	ono
wówczas	wówczas
a	a
b	b
a	a
b	b
co	co
z	z
pominięciem	pominięciem
różnicy	różnicy
w	w
znakowaniu	znakowaniu
nie	nie
jest	jest
niczym	niczym
innym	innym
jak	jak
równością	równością
zapomocą	zapomocą
której	której
określiliśmy	określiliśmy
dodawanie	dodawanie
Przypuśćmy	Przypuśćmy
że	że
twierdzenie	twierdzenie
jest	jest
prawdziwe	prawdziwe
dla	dla
c	c
r	null
null	γ
twierdzę	twierdzę
że	że
będzie	będzie
ono	ono
prawdziwe	prawdziwe
i	i
dla	dla
cr	null
null	c
null	γ
jakoż	jakoż
niechaj	niechaj
będzie	będzie
a	a
Hra	null
br	null
skąd	null
null	b
null	γ
null	a
null	b
null	γskąd
kolejno	kolejno
wyprowadzimy	wyprowadzimy
la	null
null	a
b	b
F	null
null	γ
a	a
©	null
H	null
null	b
null	γ
albo	albo
na	na
podstawie	podstawie
określenia	określenia
a€abra	null
r	null
Dj	null
null	a
null	b
null	γ
null	a
null	b
null	γ
null	a
null	b
null	γ
skąd	skąd
wynika	wynika
przez	przez
szereg	szereg
dedukcyj	dedukcyj
czysto	czysto
analitycznych	analitycznych
że	że
twierdzenie	twierdzenie
jest	jest
prawdziwe	prawdziwe
dla	dla
r	null
null	γ
Skoro	Skoro
zaś	zaś
jest	jest
ono	ono
prawdziwe	prawdziwe
dla	dla
c	c
tedy	tedy
kolejno	kolejno
można	można
okazać	okazać
w	w
sposób	sposób
powyższy	powyższy
że	że
jest	jest
prawdziwe	prawdziwe
dla	dla
cxdla	null
c	c
itd	null
null	dla
null	c
null	i t d
Przemiennościowość	Przemiennościowość
—	null
null	°
Twierdzę	Twierdzę
że	że
aa	null
null	a
null	a
Twierdzenie	Twierdzenie
to	to
jest	jest
oczywiście	oczywiście
prawdziwe	prawdziwe
dla	dla
a	a
możnaby	null
null	można
null	by
sprawdzić	sprawdzić
zapomocą	zapomocą
rozumowań	rozumowań
czysto	czysto
analitycznych	analitycznych
że	że
jeślijest	null
null	jeśli
null	jest
prawdziwe	prawdziwe
dla	dla
a	a
y	null
null	γ
to	to
będzie	będzie
również	również
dla	dla
a	a
r	null
null	γ
otóż	otóż
jest	jest
prawdziwe	prawdziwe
dla	dla
a	a
będzie	będzie
więc	więc
nim	nim
również	również
dla	dla
a	a
dla	dla
a	a
i	null
t	null
d	null
null	i t d
co	co
wyraża	wyraża
się	się
mówiąc	mówiąc
że	że
twierdzenie	twierdzenie
zostało	zostało
dowiedzione	dowiedzione
przez	przez
rekurencyę	rekurencyę
null	°
Twierdzę	Twierdzę
że	że
abba	null
null	a
null	b
null	b
null	a
Twierdzenia	Twierdzenia
tego	tego
dowiedliśmy	dowiedliśmy
przed	przed
chwilą	chwilą
dla	dla
b	b
można	można
sprawdzić	sprawdzić
analitycznie	analitycznie
że	że
skoro	skoro
jest	jest
ono	ono
prawdziwe	prawdziwe
dla	dla
b	b
£	null
null	β
to	to
będzie	będzie
również	również
prawdziwe	prawdziwe
dla	dla
b	b
P	null
null	β
Twierdzenie	Twierdzenie
jest	jest
tedy	tedy
dowiedzione	dowiedzione
przez	przez
rekurencyę	rekurencyę
