Bdur	Bdur
melodyjna	melodyjna
eebe	null
be	null
——o	null
PFĘEGS	null
Esdur	Esdur
czysta	czysta
ż	null
dd	null
GEEEEEF	null
Esdur	Esdur
harmoniczna	harmoniczna
FEG	null
ż	null
Ę	null
Esdur	Esdur
melodyjna	melodyjna
q	null
Ę	null
EEE	null
Asdur	Asdur
czysta	czysta
„g—	null
——	null
DZE	null
ISŻĘRZEĘ	null
Asdur	Asdur
harmoniczna	harmoniczna
EP	null
aż	null
Asdur	Asdur
melodyjna	melodyjna
P	null
EEE	null
Desdur	Desdur
czysta	czysta
PE	null
ka	null
Desdur	Desdur
harmoniczna	harmoniczna
IGSSESR	null
Desdur	Desdur
melodyjna	melodyjna
s	null
r	null
par	null
gS	null
