ERRATA	ERRATA
Jest	Jest
Winno	Winno
być	być
str	str
—	—
w	w
od	od
dołu	dołu
—	—
kochał	kochał
kocha	null
null	 kocha
„	„
—	—
py	null
„	null
„	null
null	 „
null	„ „
—	—
interieurem	null
intćrieurem	null
null	interieur‘em
null	 intérieur‘em
„	„
l	null
—w	null
„	null
„	null
—	—
obraza	null
obrazą	null
n	null
null	w
null	„ „
—	—
null	obraza
null	 obrazą
„	„
„	null
„	null
—	—
garzcy	null
gorzcy	null
„»	null
null	 „
null	„ „
—	—
null	garzcy
null	 gorzcy
„	„
„góry	null
—	—
bezsilna	null
bezsilna	null
„w	null
null	 „
null	„  góry
—	—
null	bez
null	silna
null	 bezsilna
„	„
„	null
—	—
null	 „
null	„ „
null	—
płasko	płasko
rzeźba	rzeźba
płaskorzeźba	null
w	null
null	 płaskorzeźba
null	„
—	—
w	null
null	 w
od	od
dołu	dołu
—	—
na	na
Goethego	Goethego
pracęl	null
na	null
null	pracę
null	 na
prozę	prozę
Goethegoł	null
null	Goethego
„	„
—	—
„	null
„	null
„	null
null	 „
null	„ „
—	—
przed	przed
Gidea	null
przez	null
Gidea	null
null	Gide‘a
null	 przez
null	Gide‘a
„	„
—	—
„	null
„	null
„	null
null	 „
null	„ „
—	—
wy	wy
uzdaną	uzdaną
wyuzdaną	null
null	 wyuzdaną
„	„
—	—
„	null
„	null
góry	null
null	 „
null	„  góry
—	—
przewraca	przewraca
przywraca	null
»	null
—	null
null	 przywraca
„	„
dołu	null
—	—
uciekł	null
uciekał	null
»	null
null	 „
null	„  dołu
—	—
null	uciekł
null	 uciekał
„	„
„góry	null
—	—
null	 „
null	„  góry
null	—
smugi	smugi
czasu	czasu
smugi	null
null	 smugi
czasu	czasu
GOTaRZ	null
IWELSTTEGKA	null
zi	null
zaa	null
