—UŁEL	null
Gdy	Gdy
peanem	peanem
brzmią	brzmią
mu	mu
dzwony	dzwony
Jak	Jak
on	on
tańczy	tańczy
jak	jak
on	on
woła	woła
Jak	Jak
on	on
trzyma	trzyma
takt	takt
muzyczny	muzyczny
Niby	Niby
wielki	wielki
hymn	hymn
runiczny	runiczny
Gdy	Gdy
peanem	peanem
brzmią	brzmią
mu	mu
dzwony	dzwony
Dzwony	Dzwony
dzwony	dzwony
dzwony	dzwony
Jak	Jak
on	on
trzyma	trzyma
takt	takt
muzyczny	muzyczny
Gdy	Gdy
wydzwania	wydzwania
zgony	zgony
zgony	zgony
Niby	Niby
wielki	wielki
hymn	hymn
runiczny	runiczny
Gdy	Gdy
wyjące	wyjące
wyją	wyją
dzwony	dzwony
Dzwony	Dzwony
dzwony	dzwony
dzwony	dzwony
Gdy	Gdy
jęczące	jęczące
jęczą	jęczą
dzwony	dzwony
Dzwony	Dzwony
dzwony	dzwony
dzwony	dzwony
Dzwony	null
null	 Dzwony
Te	Te
płaczące	płaczące
grobem	grobem
tchnące	tchnące
te	te
żólazue	null
null	żelazne
null	dzwony
null	Dla
null	Ani
null	Dzięki
null	niebu
null	—
null	Przesilenie
null	Przeminęło
null	już
null	bezpiecznie
null	—
null	I
null	powolne
null	ciała
null	gnicie
null	Już
null	minęło
null	ostatecznie
null	I
null	gorączka
null	zwana
null	życiem
null	Przeminęła
null	ostatecznie
